iteration,loss/policy,loss/value,loss/kl_penalty,loss/total,policy/approxkl,policy/clipfrac,value/error,value/clipfrac,objective/kl,objective/rewards,objective/returns,elapsed/time,elapsed/step_time,elapsed/updates,elapsed/episodes,policy/learning_rate,value/learning_rate
1,0.0036163330078125,0.0177001953125,1.259148120880127e-06,0.0140380859375,-0.00970458984375,0.0257568359375,0.31640625,0.189453125,0.037109375,0.796875,1.265625,98.6664,5.4815,17,514,3.1145998573767713e-06,6.537020146202233e-06
2,0.009033203125,0.01025390625,0.0001468658447265625,0.00138092041015625,-0.0166015625,0.055419921875,0.1904296875,0.1484375,2.96875,0.671875,1.203125,94.0206,5.2234,34,1027,3.852123346753525e-06,7.891655126690148e-06
3,0.01318359375,0.007537841796875,0.000331878662109375,-0.005340576171875,-0.00921630859375,0.05615234375,0.146484375,0.07470703125,7.28125,0.6484375,1.1328125,95.2414,5.2912,51,1539,4.283546931439944e-06,8.684065792440713e-06
4,0.015869140625,0.006103515625,0.00070953369140625,-0.00909423828125,-0.01165771484375,0.0712890625,0.1201171875,0.04052734375,15.125,0.59375,1.0859375,98.949,5.4972,68,2053,4.589646836130279e-06,9.246290107178063e-06
5,0.0164794921875,0.0052490234375,0.00115966796875,-0.0101318359375,-0.013671875,0.07421875,0.103515625,0.023193359375,29.875,0.5625,1.046875,127.4636,7.0813,85,2568,4.8270763680000175e-06,9.682385165714318e-06
6,0.01446533203125,0.0045166015625,0.001861572265625,-0.00811767578125,-0.01513671875,0.07080078125,0.08935546875,0.018310546875,71.0,0.49609375,1.0078125,241.7021,13.4279,102,3080,4.999901803607215e-06,9.999819639278558e-06
7,0.0142822265625,0.0035247802734375,0.0014495849609375,-0.00927734375,-0.0106201171875,0.064453125,0.0703125,0.0091552734375,113.0,0.5078125,0.96875,365.6367,20.3132,119,3595,4.99823246492986e-06,9.996753507014029e-06
8,0.0147705078125,0.003143310546875,0.0015869140625,-0.01007080078125,-0.01226806640625,0.0654296875,0.0625,0.0062255859375,150.0,0.470703125,0.9609375,411.8524,22.8807,136,4109,4.996563126252506e-06,9.993687374749499e-06
9,0.0140380859375,0.002777099609375,0.0054931640625,-0.0057373046875,-0.0137939453125,0.061767578125,0.05517578125,0.0072021484375,972.0,0.419921875,0.921875,527.0453,29.2803,153,4625,4.994893787575151e-06,9.990621242484972e-06
