iteration,loss/policy,loss/value,loss/total,policy/approxkl,policy/clipfrac,value/error,value/clipfrac,objective/kl,objective/rewards,objective/returns,elapsed/time,elapsed/step_time,elapsed/updates,elapsed/episodes,policy/learning_rate,value/learning_rate
1,-0.049072265625,8.9375,2.734375,2.205371856689453e-05,0.0003490447998046875,0.03125,4.4345855712890625e-05,0.034423828125,0.515625,0.71875,1044.9943,65.3121,16,2048,7.378617524880085e-07,7.834941122168926e-06
2,-0.01336669921875,9.4375,2.84375,6.29425048828125e-05,0.0003566741943359375,0.03125,4.482269287109375e-05,0.038818359375,0.49609375,0.69921875,1061.3255,66.3328,32,4096,8.973271906100106e-07,8.543676402711158e-06
3,0.00701904296875,9.1875,2.75,-2.2530555725097656e-05,0.0003833770751953125,0.0311279296875,4.291534423828125e-05,0.033935546875,0.478515625,0.70703125,1071.4155,63.0244,48,6172,9.906084920724518e-07,8.958259964766452e-06
4,-0.0130615234375,9.125,2.75,-1.5854835510253906e-05,0.00038909912109375,0.0311279296875,3.719329833984375e-05,0.033935546875,0.515625,0.703125,1065.5193,66.595,64,8220,9.997657657657656e-07,8.99895895895896e-06
5,-0.0308837890625,9.0,2.734375,2.288818359375e-05,0.0003681182861328125,0.03173828125,4.839897155761719e-05,0.037353515625,0.5078125,0.7109375,1041.2536,65.0783,80,10268,9.994774774774774e-07,8.997677677677679e-06
6,-0.020751953125,9.0,2.71875,7.241964340209961e-06,0.0003604888916015625,0.031982421875,4.9114227294921875e-05,0.036865234375,0.5234375,0.72265625,1040.7823,65.0489,96,12316,9.991891891891892e-07,8.996396396396396e-06
7,-0.0184326171875,9.125,2.765625,2.384185791015625e-05,0.0003833770751953125,0.031982421875,4.863739013671875e-05,0.034912109375,0.482421875,0.71875,1034.4046,64.6503,112,14364,9.989009009009008e-07,8.995115115115116e-06
8,-0.006256103515625,8.875,2.65625,3.719329833984375e-05,0.000415802001953125,0.0308837890625,3.2901763916015625e-05,0.03857421875,0.5078125,0.7109375,1047.9224,65.4951,128,16412,9.986126126126126e-07,8.993833833833835e-06
9,-0.058349609375,9.3125,2.84375,9.5367431640625e-05,0.0004253387451171875,0.031494140625,4.5299530029296875e-05,0.036865234375,0.5,0.7109375,1052.4889,65.7806,144,18460,9.983243243243242e-07,8.992552552552553e-06
10,-0.042724609375,9.25,2.8125,-8.106231689453125e-05,0.0003299713134765625,0.03173828125,4.291534423828125e-05,0.03857421875,0.484375,0.7109375,1039.2728,64.9546,160,20508,9.98036036036036e-07,8.991271271271272e-06
